"id";"name";"city_name";"geometry_name";"office";"phone";"email";"website";"lon";"lat";"category";"subcategory"
"48";"Регул, ООО, станция технического обслуживания";"Новоникольск";"Писарева, 138 ст2";"2 этаж; База Россия";"+79241271303";NULL;"http://dvtk-1.ru";"131.85141";"43.868521";"Автосервис / Автотовары";"Ремонт автоэлектрики"
"49";"Shel, автомастерская";"Уссурийск";"Тимирязева, 29 ст2";;"+79510085552";NULL;NULL;"131.948462";"43.790214";"Автосервис / Автотовары";"Ремонт автоэлектрики"
"50";"Дальуссурспецкомпани, многопрофильная компания";"Уссурийск";"Штабского, 19";;"+79242607983";NULL;NULL;"131.996123";"43.772208";"Автосервис / Автотовары";"Ремонт автоэлектрики"
"51";"Автосервис, ИП Ворвуль А.В.";"Уссурийск";"Шахтёрская 2-я, 7 ст3";;"+79243246877";NULL;NULL;"131.997635";"43.824801";"Автосервис / Автотовары";"Ремонт автоэлектрики"
"52";"Сервис Трак, компания";"Уссурийск";"Агеева, 28Б";"1 этаж";"+79241332996";NULL;NULL;"131.948672";"43.785289";"Автосервис / Автотовары";"Ремонт автоэлектрики"
"53";"Сервисная компания, ИП Щербак Ю.И.";"Уссурийск";"Кирова, 5";;NULL;NULL;NULL;"131.951095";"43.805504";"Автосервис / Автотовары";"Ремонт автоэлектрики"
"54";"Колесо удачи, автосервис";"Новоникольск";"Советская, 109 ст2";;"+74234394974";NULL;NULL;"131.859928";"43.853453";"Автосервис / Автотовары";"Ремонт автоэлектрики"
"55";"Мега Авто, автомастерская";"Уссурийск";"Комарова, 1Б";;"+79242602216";NULL;NULL;"131.931244";"43.812673";"Автосервис / Автотовары";"Ремонт автоэлектрики"
"56";"Гиперавто, федеральная сеть автоцентров по продаже автотоваров и ремонту автомобилей";"Уссурийск";"Комсомольская, 72";"1 этаж";"88005552388";NULL;"http://www.hyperauto.ru";"131.955935";"43.804244";"Автосервис / Автотовары";"Шиномонтаж"
"57";"Класс, автокомплекс";"Уссурийск";"Тимирязева, 2";"1 этаж";"+74234325775";NULL;"http://www.sto-klass.ru";"131.943769";"43.789283";"Автосервис / Автотовары";"Шиномонтаж"
"58";"Аякс, автокомплекс";"Уссурийск";"Ленинградская, 55";;"+74234341003";NULL;NULL;"131.933763";"43.81034";"Автосервис / Автотовары";"Шиномонтаж"
"59";"Арм сервис, автотехцентр";"Уссурийск";"Комарова, 30";;"+74234344486";NULL;NULL;"131.941915";"43.811783";"Автосервис / Автотовары";"Шиномонтаж"
"60";"Темп, автосервис";"Уссурийск";"Тургенева, 20";;"+74234263692";NULL;NULL;"131.977671";"43.807962";"Автосервис / Автотовары";"Шиномонтаж"
"61";"Парус, автокомплекс";"Уссурийск";"Новоникольское шоссе, 2Б/1";;"+74234231800";NULL;NULL;"131.915135";"43.819773";"Автосервис / Автотовары";"Шиномонтаж"
"62";"ГЕРМЕС, ООО, шинный центр";"Уссурийск";"Тургенева, 73Б ст14";;"+74234300883";NULL;"http://shina-germes.ru";"131.970166";"43.81133";"Автосервис / Автотовары";"Шиномонтаж"
"63";"Арден, грузовой шинный центр";"Уссурийск";"Новоникольское шоссе, 9";;"+74234373830";"li@ardenn.ru";"http://www.ardenn.ru";"131.906771";"43.824282";"Автосервис / Автотовары";"Шиномонтаж"
"64";"Toyama-Motors, торговая компания";"Уссурийск";"Некрасова, 209 ст2";;"+79241227744";NULL;"http://toyama-motors.ru";"131.945765";"43.823255";"Автосервис / Автотовары";"Шиномонтаж"
"65";"Темп, шиномонтажная мастерская";"Уссурийск";"Тургенева, 20 ст3";;NULL;NULL;NULL;"131.977402";"43.808312";"Автосервис / Автотовары";"Шиномонтаж"
"66";"INVADER, автосервис";"Уссурийск";"Краснознамённая, 218";;"+79020606080";NULL;NULL;"131.953974";"43.812559";"Автосервис / Автотовары";"Шиномонтаж"
"67";"Товарищ, СТО";"Уссурийск";"Краснознамённая, 21а ст7";;"+79242593407";NULL;NULL;"131.958038";"43.7856";"Автосервис / Автотовары";"Шиномонтаж"
"68";"GT, СТО";"Уссурийск";"Агеева, 29а";;"+79146799777";NULL;NULL;"131.945419";"43.788906";"Автосервис / Автотовары";"Шиномонтаж"
"69";"Шины-плюс, шинный центр";"Уссурийск";"Чичерина, 152";;"+74234303080";NULL;NULL;"131.982268";"43.79029";"Автосервис / Автотовары";"Шиномонтаж"
"70";"Экспертмото, компания";"Уссурийск";"Лесозаводская, 3а ст2";;"+79147124002";NULL;"http://expertmoto.ru";"131.987975";"43.777271";"Автосервис / Автотовары";"Шиномонтаж"
"71";"Шиномонтажная мастерская, ИП Плотников Б.И.";"Уссурийск";"Пионерская, 92";;"+79242597023";NULL;NULL;"131.952361";"43.811484";"Автосервис / Автотовары";"Шиномонтаж"
"72";"Шиномонтажная мастерская, ИП Муратов Б.Б.";"Уссурийск";"Волочаевская, 69";;NULL;NULL;NULL;"131.960191";"43.800884";"Автосервис / Автотовары";"Шиномонтаж"
"73";"Шиномонтажная мастерская, ИП Рычков М.Ю.";"Уссурийск";"Комсомольская, 111в";;"+74234377628";NULL;NULL;"131.966897";"43.80647";"Автосервис / Автотовары";"Шиномонтаж"
"74";"Гиперавто, федеральная сеть автоцентров по продаже автотоваров и ремонту автомобилей";"Уссурийск";"Декабристов, 95";;"88005552388";NULL;"http://www.hyperauto.ru";"131.945395";"43.82232";"Автосервис / Автотовары";"Шиномонтаж"
"75";"Шиномонтажная мастерская";"Уссурийск";"Воровского, 142";;NULL;NULL;NULL;"131.991875";"43.806773";"Автосервис / Автотовары";"Шиномонтаж"
"76";"Шиномонтажная мастерская, ИП Петров А.Н.";"Уссурийск";"Владивостокское шоссе, 36в";;"+79243335335";NULL;NULL;"131.97671";"43.772623";"Автосервис / Автотовары";"Шиномонтаж"
"77";"Шиномонтаж, мастерская";"Уссурийск";"Московская, 2";"1 этаж";"+79143364298";NULL;NULL;"131.990006";"43.766694";"Автосервис / Автотовары";"Шиномонтаж"
"78";"Шиномонтажная мастерская, ИП Конищева А.В.";"Уссурийск";"Владивостокское шоссе, 38 ст3";;"+79241283277";NULL;NULL;"131.97143";"43.772662";"Автосервис / Автотовары";"Шиномонтаж"
"79";"Шиномонтажная мастерская, ИП Пак В.Н.";"Уссурийск";"Владивостокское шоссе, 2г";;"+79841904730";NULL;NULL;"132.009205";"43.728711";"Автосервис / Автотовары";"Шиномонтаж"
"80";"Шины-плюс-2, магазин шин и дисков";"Уссурийск";"Некрасова, 244Б";;NULL;NULL;NULL;"131.944889";"43.832431";"Автосервис / Автотовары";"Шиномонтаж"
"81";"Пикап, технический центр";"Михайловка";"Ленинская, 174а";;"+79149605885";NULL;NULL;"132.008984";"43.946372";"Автосервис / Автотовары";"Шиномонтаж"
"82";"Мастершеф, шиномонтажная мастерская";"Уссурийск";"Новоникольское шоссе, 3 ст5";;"+79241271095";NULL;NULL;"131.889711";"43.832898";"Автосервис / Автотовары";"Шиномонтаж"
"83";"Шиномонтажная мастерская, ИП Добижа С.В.";"Уссурийск";"Владивостокское шоссе, 2г ст3";;"+79242606665";NULL;NULL;"132.009998";"43.729233";"Автосервис / Автотовары";"Шиномонтаж"
"84";"Шиномонтажная мастерская, ИП Синельник С.В.";"Михайловка";"Ленинская, 147а";;NULL;NULL;NULL;"132.003068";"43.937968";"Автосервис / Автотовары";"Шиномонтаж"
"85";"Шиномонтажная мастерская, ИП Ходыко А.Н.";"Уссурийск";"Андрея Кушнира, 9а";;NULL;NULL;NULL;"131.977199";"43.785566";"Автосервис / Автотовары";"Шиномонтаж"
"86";"Автоподшипник плюс, торговая компания";"Уссурийск";"Краснознамённая, 178Б";"10а офис";"+79146904558";NULL;"http://www.avto-podshipnik.ru";"131.956755";"43.806879";"Автосервис / Автотовары";"Автозапчасти для отечественных автомобилей"
"87";"Технотайм, автоцентр";"Уссурийск";"Краснознамённая, 146";;"+74234339697";NULL;"http://www.techno-time.net";"131.959966";"43.798023";"Автосервис / Автотовары";"Автозапчасти для отечественных автомобилей"
"88";"Всё на УАЗ, автомагазин";"Уссурийск";"Агеева, 45";"2 этаж";"+74234322118";NULL;NULL;"131.948735";"43.78715";"Автосервис / Автотовары";"Автозапчасти для отечественных автомобилей"
"89";"Дальзапчасть, ЗАО, торговая компания";"Уссурийск";"Владивостокское шоссе, 93 ст5";;"+74234356446";NULL;NULL;"131.974363";"43.770607";"Автосервис / Автотовары";"Автозапчасти для отечественных автомобилей"
"90";"Астэк, автомагазин";"Уссурийск";"Пушкина, 88";;"+74234323152";NULL;NULL;"131.957584";"43.800123";"Автосервис / Автотовары";"Автозапчасти для отечественных автомобилей"
"91";"Волга, автомагазин";"Уссурийск";"Агеева, 45";;"+74234324506";NULL;NULL;"131.948735";"43.78715";"Автосервис / Автотовары";"Автозапчасти для отечественных автомобилей"
"92";"Вираж, магазин автотоваров";"Уссурийск";"Агеева, 41";"211 офис; 2 этаж";"+74234322879";NULL;NULL;"131.947528";"43.788126";"Автосервис / Автотовары";"Автозапчасти для отечественных автомобилей"
"93";"Автомагазин, ИП Сальников И.Н.";"Уссурийск";"Агеева, 45";;NULL;NULL;NULL;"131.948735";"43.78715";"Автосервис / Автотовары";"Автозапчасти для отечественных автомобилей"
"94";"LADA деталь, магазин";"Уссурийск";"Волочаевская, 69";"1 этаж";"+74234321119";NULL;NULL;"131.960191";"43.800884";"Автосервис / Автотовары";"Автозапчасти для отечественных автомобилей"
"95";"Старт, магазин автозапчастей";"Уссурийск";"Краснознамённая, 97";;"+74234375027";NULL;NULL;"131.959501";"43.794729";"Автосервис / Автотовары";"Автозапчасти для отечественных автомобилей"
"96";"Магазин автохозтоваров, ИП Приходько Н.Е.";"Михайловка";"Уссурийская, 63";"1 этаж";"+74234623442";NULL;NULL;"131.99359";"43.922631";"Автосервис / Автотовары";"Автозапчасти для отечественных автомобилей"
"97";"Вебасто-Центр, оптовая компания";;;;NULL;"forr.vl@mail.ru";"http://www.webasto.vl.ru";;;"Автосервис / Автотовары";"Специализированное автооборудование"
"98";"Дата Сервис, ООО, торгово-сервисная компания";"Уссурийск";"Резервная, 4";"205 офис";"+79020611105";NULL;"http://www.xn--80aagfht8cged.xn--p1ai";"131.928947";"43.837049";"Автосервис / Автотовары";"Специализированное автооборудование"
"99";"Тахосервис, ООО, торговая компания";"Уссурийск";"Тимирязева, 29";;"+79143453067";NULL;"http://www.transportcontrol.ru";"131.949749";"43.789885";"Автосервис / Автотовары";"Специализированное автооборудование"
"100";"Автостиль, торгово-установочный центр";"Уссурийск";"Краснознамённая, 190";"1 этаж";"+74234333023";NULL;"http://www.333023.ru";"131.954821";"43.809603";"Автосервис / Автотовары";"Специализированное автооборудование"
"101";"Торговая компания, ИП Черныш А.Н.";"Уссурийск";"Штабского, 1а";;"+79243375207";NULL;"http://ussurtahograf.ru";"131.995044";"43.769803";"Автосервис / Автотовары";"Специализированное автооборудование"
"102";"Автостиль, торгово-установочный центр";"Уссурийск";"Агеева, 41 ст2";;"+74234333023";NULL;"http://www.333023.ru";"131.946779";"43.787958";"Автосервис / Автотовары";"Специализированное автооборудование"
"103";"Смирнов электроникс, торговая компания";"Уссурийск";"Октябрьская, 2";;"88001002026";NULL;"http://www.sme.ms";"131.937639";"43.79472";"Автосервис / Автотовары";"Автосигнализации"
"104";"Армада, автокомплекс";"Уссурийск";"Розинская, 5";;"+74234329110";NULL;NULL;"131.960271";"43.797047";"Автосервис / Автотовары";"Автосигнализации"
"105";"TAKUMI, автосервис";"Уссурийск";"Чичерина, 146 ст10";;"+79243333125";NULL;NULL;"131.981233";"43.792574";"Автосервис / Автотовары";"Автосигнализации"
"106";"НЭК, магазин автоэлектроники";"Уссурийск";"Тургенева, 73Б";;"+74234262696";NULL;NULL;"131.971055";"43.811546";"Автосервис / Автотовары";"Автосигнализации"
"107";"Центр Безопасности, торговая компания";"Уссурийск";"Ермакова, 57";"1 этаж";"+74234243080";NULL;"http://www.243080.ru";"131.946946";"43.810007";"Автосервис / Автотовары";"Автосигнализации"
"108";"AVTO DOKTOR, СТО";"Уссурийск";"Краснознамённая, 21а ст2";;"+79242464676";NULL;NULL;"131.958352";"43.785536";"Автосервис / Автотовары";"Автосигнализации"
"109";"Гарант, автосервис";"Уссурийск";"Тургенева, 45";;"+74234373151";NULL;NULL;"131.976454";"43.809238";"Автосервис / Автотовары";"Автосигнализации"
"110";"Кондор, торгово-монтажная компания";"Уссурийск";"Некрасова, 2";"1 этаж";"+74234321379";NULL;NULL;"131.951508";"43.785958";"Автосервис / Автотовары";"Автосигнализации"
"111";"СТО";"Уссурийск";"Агеева, 45";;"+74234324506";NULL;NULL;"131.948735";"43.78715";"Автосервис / Автотовары";"Автосигнализации"
"112";"Авторитет, ООО, многопрофильная компания";"Уссурийск";"Уссурийская, 52а";"311 офис; 3 этаж";"+79147113761";NULL;"http://avtoritet-delo.ru";"131.946753";"43.806461";"Автосервис / Автотовары";"Технический осмотр транспорта"
"113";"ПримАвтоТехноСервисКонтроль, ООО, пункт технического осмотра транспорта";"Уссурийск";"Амурская, 71";;"+74234339064";NULL;NULL;"131.952985";"43.80623";"Автосервис / Автотовары";"Технический осмотр транспорта"
"114";"Авто-маркет, ООО";"Уссурийск";"Владивостокское шоссе, 2г";;"+79147119657";NULL;NULL;"132.009205";"43.728711";"Автосервис / Автотовары";"Технический осмотр транспорта"
"115";"ПримАвтоТехноСервисКонтроль, ООО, пункт технического осмотра транспорта";"Уссурийск";"Амурская, 71 ст2";;NULL;NULL;NULL;"131.95206";"43.806102";"Автосервис / Автотовары";"Технический осмотр транспорта"
"116";"Планета-авто, торгово-сервисный центр";"Уссурийск";"Сергея Ушакова, 21";;"+74234355527";NULL;"http://planeta-avtodv.ru";"131.979084";"43.787272";"Автосервис / Автотовары";"Тюнинг"
"117";"АВТО-SHOP, автомагазин";"Уссурийск";"Волочаевская, 73";"1, 2 этаж";"+79242315292";NULL;"http://workstore-dv.ru";"131.959996";"43.801976";"Автосервис / Автотовары";"Тюнинг"
"118";"IronMan, автоцентр";"Уссурийск";"Комсомольская, 111";;"+79025591101";NULL;NULL;"131.967654";"43.806592";"Автосервис / Автотовары";"Тюнинг"
"119";"Комffорт, тюнинг-ателье";"Уссурийск";"Краснознамённая, 212";"2 этаж";"+79502848439";NULL;"http://tuning-am.ru";"131.954774";"43.811997";"Автосервис / Автотовары";"Тюнинг"
"120";"Декор авто, компания";"Уссурийск";"Вейса, 18 ст2";"1 этаж";"+79147119699";NULL;NULL;"131.962635";"43.788282";"Автосервис / Автотовары";"Тюнинг"
"121";"Underground, автоателье";"Уссурийск";"Некрасова, 179";"1 этаж";"+79140740380";NULL;NULL;"131.946294";"43.816122";"Автосервис / Автотовары";"Тюнинг"
"122";"Пластик сервис, автосервис";"Уссурийск";"Агеева, 28а ст2";;"+79140711122";NULL;NULL;"131.949754";"43.785505";"Автосервис / Автотовары";"Тюнинг"
"123";"USD гараж, автомастерская";"Уссурийск";"8 Марта, 1";"1 этаж";"+79020588097";NULL;NULL;"131.887065";"43.83542";"Автосервис / Автотовары";"Тюнинг"
"124";"Приморье, центр газовых технологий";"Уссурийск";"Комсомольская, 111а";;"+74234229966";NULL;NULL;"131.965985";"43.806628";"Автосервис / Автотовары";"Газовое оборудование для автотранспорта"
"125";"Автонародный, сеть магазинов";"Уссурийск";"Некрасова, 251";"1 этаж";"+74234231911";NULL;"http://avtonarodnye.ru";"131.941877";"43.835903";"Автосервис / Автотовары";"Шины / Диски"
"126";"Россельхозснаб-Приморье, ООО, торговая компания";"Уссурийск";"Геофизиков, 2";;NULL;NULL;NULL;"131.885553";"43.8357";"Автосервис / Автотовары";"Шины / Диски"
"127";"Уссурийский Авторемонтный Завод, ООО, торгово-сервисная компания";"Уссурийск";"Амурская, 71";;"+74234335955";NULL;NULL;"131.952985";"43.80623";"Автосервис / Автотовары";"Шины / Диски"
"128";"Примшина, шинный центр";"Уссурийск";"Краснознамённая, 178Б ст2";;"+74234310555";NULL;"http://www.primshina.ru";"131.956625";"43.807097";"Автосервис / Автотовары";"Шины / Диски"
"129";"Уссуршина, склад-магазин";"Уссурийск";"Краснознамённая, 178Б ст2";;"+74234339005";NULL;NULL;"131.956625";"43.807097";"Автосервис / Автотовары";"Шины / Диски"
"130";"Автошина, торговая компания";"Уссурийск";"Краснознамённая, 178Б ст3";;"+79025268008";NULL;NULL;"131.956496";"43.807313";"Автосервис / Автотовары";"Шины / Диски"
"131";"АвтоТраст, ООО, торговая компания";"Уссурийск";"Михайловское шоссе, 1в";;"+74234330340";NULL;NULL;"131.951329";"43.84246";"Автосервис / Автотовары";"Шины / Диски"
"132";"Шина Оптима, магазин автошин";"Уссурийск";"Краснознамённая, 178Б ст2";;"+79510043333";NULL;NULL;"131.956625";"43.807097";"Автосервис / Автотовары";"Шины / Диски"
"133";"Драйв, автомагазин";"Уссурийск";"Кирова, 5";;"+74234339653";NULL;NULL;"131.951095";"43.805504";"Автосервис / Автотовары";"Шины / Диски"
"134";"Шинасервис, магазин";"Уссурийск";"Тимирязева, 2а ст2";"1 этаж";NULL;NULL;NULL;"131.945099";"43.789422";"Автосервис / Автотовары";"Шины / Диски"
"135";"Магазин автошин, ИП ИП Рузиев И.С.";"Уссурийск";"Владивостокское шоссе, 2г ст3";;"+79243389287";NULL;NULL;"132.009998";"43.729233";"Автосервис / Автотовары";"Шины / Диски"
"136";"Магазин шин и дисков, ИП Глущенко С.Е.";"Уссурийск";"Владивостокское шоссе, 2г ст2";;"+79146551051";NULL;NULL;"132.009753";"43.729121";"Автосервис / Автотовары";"Шины / Диски"
"137";"Магазин автошин, ИП Остапенко Р.А.";"Уссурийск";"Лесная, 3а";;NULL;NULL;NULL;"132.008297";"43.729041";"Автосервис / Автотовары";"Шины / Диски"
"138";"Россельхозснаб-Приморье, ООО, торговая компания";"Уссурийск";"Михайловское шоссе, 1а";"3 офис; 2 этаж";NULL;NULL;NULL;"131.946795";"43.844534";"Автосервис / Автотовары";"Шины / Диски"
"139";"Шина Оптима, магазин автошин";"Уссурийск";"Московская, 12";"1 этаж";"+79510043333";NULL;NULL;"131.990387";"43.765663";"Автосервис / Автотовары";"Шины / Диски"
